,keyword,type,date,index,整体日均值,移动日均值,pc日均值,整体同比,整体环比,移动同比,移动环比,pc同比,pc环比
0,肖战,all,2020-03-15,184418,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
1,肖战,pc,2020-03-15,25276,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
2,肖战,wise,2020-03-15,159142,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
3,肖战,all,2020-03-16,160089,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
4,肖战,pc,2020-03-16,26805,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
5,肖战,wise,2020-03-16,133284,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
6,肖战,all,2020-03-17,156669,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
7,肖战,pc,2020-03-17,26971,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
8,肖战,wise,2020-03-17,129698,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
9,肖战,all,2020-03-18,142624,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
10,肖战,pc,2020-03-18,23397,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
11,肖战,wise,2020-03-18,119227,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
12,肖战,all,2020-03-19,137742,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
13,肖战,pc,2020-03-19,23012,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
14,肖战,wise,2020-03-19,114730,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
15,肖战,all,2020-03-20,133757,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
16,肖战,pc,2020-03-20,22670,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
17,肖战,wise,2020-03-20,111087,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
18,肖战,all,2020-03-21,125930,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
19,肖战,pc,2020-03-21,17022,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
20,肖战,wise,2020-03-21,108908,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
21,肖战,all,2020-03-22,248950,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
22,肖战,pc,2020-03-22,39236,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
23,肖战,wise,2020-03-22,209714,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
24,肖战,all,2020-03-23,182926,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
25,肖战,pc,2020-03-23,32992,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
26,肖战,wise,2020-03-23,149934,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
27,肖战,all,2020-03-24,159030,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
28,肖战,pc,2020-03-24,28602,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
29,肖战,wise,2020-03-24,130428,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
30,肖战,all,2020-03-25,151352,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
31,肖战,pc,2020-03-25,24831,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
32,肖战,wise,2020-03-25,126521,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
33,肖战,all,2020-03-26,149763,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
34,肖战,pc,2020-03-26,22421,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
35,肖战,wise,2020-03-26,127342,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
36,肖战,all,2020-03-27,146529,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
37,肖战,pc,2020-03-27,21084,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
38,肖战,wise,2020-03-27,125445,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
39,肖战,all,2020-03-28,138415,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
40,肖战,pc,2020-03-28,15716,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
41,肖战,wise,2020-03-28,122699,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
42,肖战,all,2020-03-29,157763,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
43,肖战,pc,2020-03-29,15785,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
44,肖战,wise,2020-03-29,141978,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
45,肖战,all,2020-03-30,160543,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
46,肖战,pc,2020-03-30,21476,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
47,肖战,wise,2020-03-30,139067,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
48,肖战,all,2020-03-31,146465,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
49,肖战,pc,2020-03-31,19417,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
50,肖战,wise,2020-03-31,127048,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
51,肖战,all,2020-04-01,144103,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
52,肖战,pc,2020-04-01,19175,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
53,肖战,wise,2020-04-01,124928,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
54,肖战,all,2020-04-02,143711,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
55,肖战,pc,2020-04-02,19513,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
56,肖战,wise,2020-04-02,124198,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
57,肖战,all,2020-04-03,136089,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
58,肖战,pc,2020-04-03,18761,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
59,肖战,wise,2020-04-03,117328,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
60,肖战,all,2020-04-04,144720,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
61,肖战,pc,2020-04-04,13585,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
62,肖战,wise,2020-04-04,131135,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
